Capacity,Datetime,Occupancy
220,2016/10/25 16:29,169
220,2016/10/26 7:59,47
220,2016/10/26 8:32,80
220,2016/10/26 8:59,133
220,2016/10/26 9:26,150
220,2016/10/26 9:59,170
220,2016/10/26 10:26,176
220,2016/10/26 10:59,182
220,2016/10/26 11:26,189
220,2016/10/26 11:59,197
220,2016/10/26 12:26,200
220,2016/10/26 12:59,201
220,2016/10/26 13:26,202
220,2016/10/26 13:59,212
220,2016/10/26 14:26,215
220,2016/10/26 14:59,216
220,2016/10/26 15:26,211
220,2016/10/26 15:59,201
220,2016/10/26 16:32,181
220,2016/10/27 7:59,65
220,2016/10/27 8:32,109
220,2016/10/27 8:59,152
220,2016/10/27 9:32,162
220,2016/10/27 9:59,182
220,2016/10/27 10:25,190
220,2016/10/27 10:59,193
220,2016/10/27 11:32,194
220,2016/10/27 11:59,206
220,2016/10/27 12:26,213
220,2016/10/27 12:59,201
220,2016/10/27 13:32,220
220,2016/10/27 13:59,202
220,2016/10/27 14:26,197
220,2016/10/27 14:59,190
220,2016/10/27 15:26,184
220,2016/10/27 15:59,173
220,2016/10/27 16:26,158
220,2016/10/28 8:16,72
220,2016/10/28 8:16,72
220,2016/10/28 8:56,133
220,2016/10/28 9:29,145
220,2016/10/28 10:02,158
220,2016/10/28 10:29,161
220,2016/10/28 10:56,164
220,2016/10/28 11:29,168
220,2016/10/28 12:02,170
220,2016/10/28 12:29,173
220,2016/10/28 13:02,171
220,2016/10/28 13:29,169
220,2016/10/28 14:02,169
220,2016/10/28 14:29,167
220,2016/10/28 15:02,169
220,2016/10/28 15:29,167
220,2016/10/28 16:02,157
220,2016/10/28 16:29,143
220,2016/10/29 7:59,38
220,2016/10/29 8:26,38
220,2016/10/29 8:59,44
220,2016/10/29 9:26,47
220,2016/10/29 9:59,48
220,2016/10/29 10:26,48
220,2016/10/29 10:59,48
220,2016/10/29 11:25,40
220,2016/10/29 12:06,37
220,2016/10/29 12:26,39
220,2016/10/29 12:59,39
220,2016/10/29 13:26,44
220,2016/10/29 13:59,47
220,2016/10/29 14:26,44
220,2016/10/29 14:59,44
220,2016/10/29 15:26,45
220,2016/10/29 15:59,48
220,2016/10/29 16:26,47
220,2016/10/30 7:59,36
220,2016/10/30 7:59,36
220,2016/10/30 7:59,36
220,2016/10/30 8:25,35
220,2016/10/30 8:59,38
220,2016/10/30 9:25,37
220,2016/10/30 9:59,38
220,2016/10/30 10:25,37
220,2016/10/30 10:59,33
220,2016/10/30 11:25,33
220,2016/10/30 11:59,24
220,2016/10/30 12:26,24
220,2016/10/30 13:06,22
220,2016/10/30 13:25,22
220,2016/10/30 13:59,28
220,2016/10/30 14:32,26
220,2016/10/30 15:00,23
220,2016/10/30 15:32,23
220,2016/10/31 8:00,57
220,2016/10/31 8:26,78
220,2016/10/31 9:00,140
220,2016/10/31 9:26,165
220,2016/10/31 10:00,185
220,2016/10/31 10:26,194
220,2016/10/31 11:00,199
220,2016/10/31 11:26,199
220,2016/10/31 12:00,208
220,2016/10/31 12:26,208
220,2016/10/31 13:00,206
220,2016/10/31 13:26,206
220,2016/10/31 13:59,201
220,2016/10/31 14:26,200
220,2016/10/31 15:00,194
220,2016/10/31 15:27,188
220,2016/10/31 16:00,176
220,2016/10/31 16:26,167
220,2016/11/1 8:06,66
220,2016/11/1 8:26,92
220,2016/11/1 9:00,148
220,2016/11/1 9:26,168
220,2016/11/1 10:00,200
220,2016/11/1 10:26,204
220,2016/11/1 11:00,215
220,2016/11/1 11:26,190
220,2016/11/1 12:00,204
220,2016/11/1 12:26,207
220,2016/11/1 13:00,213
220,2016/11/1 13:26,214
220,2016/11/1 14:00,208
220,2016/11/1 14:26,210
220,2016/11/1 15:00,204
220,2016/11/1 15:27,190
220,2016/11/1 16:00,178
220,2016/11/1 16:33,155
220,2016/11/2 7:56,46
220,2016/11/2 8:30,77
220,2016/11/2 8:56,129
220,2016/11/2 9:30,155
220,2016/11/2 9:56,173
220,2016/11/2 10:29,184
220,2016/11/2 10:56,194
220,2016/11/2 11:30,204
220,2016/11/2 11:56,219
220,2016/11/2 12:30,219
220,2016/11/2 13:03,220
220,2016/11/2 13:30,216
220,2016/11/2 14:03,219
220,2016/11/2 14:30,220
220,2016/11/2 14:56,215
220,2016/11/2 15:29,213
220,2016/11/2 16:03,202
220,2016/11/2 16:30,181
220,2016/11/3 8:00,73
220,2016/11/3 8:00,73
220,2016/11/3 8:26,95
220,2016/11/3 9:00,152
220,2016/11/3 9:26,170
220,2016/11/3 10:00,193
220,2016/11/3 10:26,193
220,2016/11/3 11:00,210
220,2016/11/3 11:26,215
220,2016/11/3 12:00,202
220,2016/11/3 12:26,204
220,2016/11/3 12:59,205
220,2016/11/3 13:26,203
220,2016/11/3 13:59,204
220,2016/11/3 14:26,202
220,2016/11/3 15:00,192
220,2016/11/3 15:33,189
220,2016/11/3 16:30,142
220,2016/11/4 8:00,67
220,2016/11/4 8:26,92
220,2016/11/4 8:59,144
220,2016/11/4 9:33,163
220,2016/11/4 10:00,173
220,2016/11/4 10:26,180
220,2016/11/4 11:00,187
220,2016/11/4 11:33,193
220,2016/11/4 12:00,194
220,2016/11/4 12:33,194
220,2016/11/4 13:00,194
220,2016/11/4 13:26,195
220,2016/11/4 13:59,195
220,2016/11/4 14:26,193
220,2016/11/4 15:00,184
220,2016/11/4 15:26,178
220,2016/11/4 16:00,173
220,2016/11/4 16:26,157
220,2016/11/5 8:00,57
220,2016/11/5 8:26,58
220,2016/11/5 8:59,64
220,2016/11/5 9:26,66
220,2016/11/5 9:59,68
220,2016/11/5 10:33,69
220,2016/11/5 10:59,68
220,2016/11/5 11:26,65
220,2016/11/5 12:06,69
220,2016/11/5 12:26,70
220,2016/11/5 13:00,71
220,2016/11/5 13:33,73
220,2016/11/5 13:59,70
220,2016/11/5 14:26,71
220,2016/11/5 15:00,72
220,2016/11/5 15:26,69
220,2016/11/5 16:00,69
220,2016/11/5 16:26,65
220,2016/11/6 8:00,28
220,2016/11/6 8:26,28
220,2016/11/6 9:00,30
220,2016/11/6 9:33,30
220,2016/11/6 10:00,31
220,2016/11/6 10:26,31
220,2016/11/6 10:59,32
220,2016/11/6 11:26,31
220,2016/11/6 11:59,32
220,2016/11/6 12:26,34
220,2016/11/6 13:06,39
220,2016/11/6 13:26,37
220,2016/11/6 13:59,42
220,2016/11/6 14:33,46
220,2016/11/6 15:00,51
220,2016/11/6 15:26,53
220,2016/11/6 15:59,54
220,2016/11/6 16:26,58
220,2016/11/7 8:00,43
220,2016/11/7 8:26,72
220,2016/11/7 8:59,131
220,2016/11/7 9:26,156
220,2016/11/7 9:59,182
220,2016/11/7 10:26,180
220,2016/11/7 10:59,187
220,2016/11/7 11:26,188
220,2016/11/7 11:59,202
220,2016/11/7 12:26,201
220,2016/11/7 12:59,199
220,2016/11/7 13:33,201
220,2016/11/7 13:59,202
220,2016/11/7 14:33,201
220,2016/11/7 15:00,194
220,2016/11/7 15:33,192
220,2016/11/7 16:00,177
220,2016/11/7 16:33,169
220,2016/11/8 7:59,51
220,2016/11/8 8:26,72
220,2016/11/8 8:59,143
220,2016/11/8 9:26,151
220,2016/11/8 9:59,151
220,2016/11/8 10:33,151
220,2016/11/8 11:00,151
220,2016/11/8 11:33,218
220,2016/11/8 11:59,212
220,2016/11/8 12:27,214
220,2016/11/8 13:00,210
220,2016/11/8 13:34,211
220,2016/11/8 14:00,209
220,2016/11/8 14:26,201
220,2016/11/8 15:00,194
220,2016/11/8 15:33,185
220,2016/11/8 16:01,166
220,2016/11/8 16:34,153
220,2016/11/9 8:00,19
220,2016/11/9 8:27,19
220,2016/11/9 9:00,19
220,2016/11/9 9:34,19
220,2016/11/9 10:00,19
220,2016/11/9 10:27,19
220,2016/11/9 11:00,19
220,2016/11/9 11:27,19
220,2016/11/9 12:00,19
220,2016/11/9 12:27,19
220,2016/11/9 13:00,19
220,2016/11/9 13:27,19
220,2016/11/9 14:00,19
220,2016/11/9 14:27,19
220,2016/11/9 15:00,199
220,2016/11/9 15:34,191
220,2016/11/9 16:00,173
220,2016/11/9 16:34,152
220,2016/11/10 8:00,58
220,2016/11/10 8:34,95
220,2016/11/10 9:00,156
220,2016/11/10 9:27,172
220,2016/11/10 10:00,201
220,2016/11/10 10:27,201
220,2016/11/10 11:00,206
220,2016/11/10 11:27,210
220,2016/11/10 12:00,220
220,2016/11/10 12:27,199
220,2016/11/10 13:00,220
220,2016/11/10 13:34,207
220,2016/11/10 14:00,203
220,2016/11/10 14:27,199
220,2016/11/10 15:00,193
220,2016/11/10 15:27,186
220,2016/11/10 16:00,176
220,2016/11/10 16:27,164
220,2016/11/11 8:00,57
220,2016/11/11 8:27,81
220,2016/11/11 9:00,131
220,2016/11/11 9:27,153
220,2016/11/11 10:00,163
220,2016/11/11 10:27,168
220,2016/11/11 11:00,173
220,2016/11/11 11:27,180
220,2016/11/11 12:00,185
220,2016/11/11 12:27,184
220,2016/11/11 13:00,188
220,2016/11/11 13:34,178
220,2016/11/11 14:00,177
220,2016/11/11 14:27,173
220,2016/11/11 15:00,163
220,2016/11/11 15:34,159
220,2016/11/11 16:00,148
220,2016/11/11 16:34,134
220,2016/11/12 8:00,28
220,2016/11/12 8:27,29
220,2016/11/12 9:00,34
220,2016/11/12 9:27,34
220,2016/11/12 10:00,33
220,2016/11/12 10:27,37
220,2016/11/12 11:00,37
220,2016/11/12 11:34,40
220,2016/11/12 12:00,39
220,2016/11/12 12:27,39
220,2016/11/12 13:00,41
220,2016/11/12 13:27,45
220,2016/11/12 14:00,42
220,2016/11/12 14:27,44
220,2016/11/12 15:00,47
220,2016/11/12 15:27,47
220,2016/11/12 16:00,47
220,2016/11/12 16:34,46
220,2016/11/13 8:00,17
220,2016/11/13 8:27,17
220,2016/11/13 9:00,18
220,2016/11/13 9:34,20
220,2016/11/13 10:00,20
220,2016/11/13 10:33,22
220,2016/11/13 11:00,21
220,2016/11/13 11:27,17
220,2016/11/13 12:00,11
220,2016/11/13 12:27,7
220,2016/11/13 13:07,4
220,2016/11/13 13:33,2
220,2016/11/13 14:00,3
220,2016/11/13 14:27,5
220,2016/11/13 15:00,3
220,2016/11/13 15:27,3
220,2016/11/13 16:00,4
220,2016/11/13 16:27,5
220,2016/11/14 8:00,45
220,2016/11/14 8:33,76
220,2016/11/14 9:00,127
220,2016/11/14 9:27,153
220,2016/11/14 10:00,186
220,2016/11/14 10:27,198
220,2016/11/14 11:00,202
220,2016/11/14 11:27,204
220,2016/11/14 12:00,216
220,2016/11/14 12:27,198
220,2016/11/14 13:00,203
220,2016/11/14 13:27,205
220,2016/11/14 14:00,203
220,2016/11/14 14:33,205
220,2016/11/14 15:00,197
220,2016/11/14 15:27,192
220,2016/11/14 16:00,174
220,2016/11/14 16:27,158
220,2016/11/15 7:57,42
220,2016/11/15 8:30,80
220,2016/11/15 8:57,128
220,2016/11/15 9:30,155
220,2016/11/15 9:57,180
220,2016/11/15 10:30,191
220,2016/11/15 11:03,198
220,2016/11/15 11:30,201
220,2016/11/15 11:57,211
220,2016/11/15 12:30,215
220,2016/11/15 12:57,216
220,2016/11/15 13:30,217
220,2016/11/15 14:03,215
220,2016/11/15 14:30,212
220,2016/11/15 15:03,209
220,2016/11/15 15:30,202
220,2016/11/15 15:57,189
220,2016/11/15 16:30,170
220,2016/11/16 8:00,78
220,2016/11/16 8:27,105
220,2016/11/16 9:00,159
220,2016/11/16 9:27,176
220,2016/11/16 10:00,206
220,2016/11/16 10:33,194
220,2016/11/16 11:00,200
220,2016/11/16 11:27,202
220,2016/11/16 12:00,213
220,2016/11/16 12:27,220
220,2016/11/16 13:00,206
220,2016/11/16 13:27,203
220,2016/11/16 14:00,204
220,2016/11/16 14:27,202
220,2016/11/16 15:00,192
220,2016/11/16 15:33,188
220,2016/11/16 16:00,177
220,2016/11/16 16:33,154
220,2016/11/17 8:04,52
220,2016/11/17 8:31,81
220,2016/11/17 9:03,137
220,2016/11/17 9:31,150
220,2016/11/17 9:57,166
220,2016/11/17 10:31,175
220,2016/11/17 11:04,187
220,2016/11/17 11:31,189
220,2016/11/17 12:04,195
220,2016/11/17 12:31,198
220,2016/11/17 13:04,202
220,2016/11/17 13:31,203
220,2016/11/17 14:04,207
220,2016/11/17 14:30,203
220,2016/11/17 14:58,198
220,2016/11/17 15:30,197
220,2016/11/17 15:58,187
220,2016/11/17 16:31,163
220,2016/11/18 8:01,62
220,2016/11/18 8:01,62
220,2016/11/18 8:27,82
220,2016/11/18 9:27,149
220,2016/11/18 10:01,168
220,2016/11/18 10:27,174
220,2016/11/18 11:01,181
220,2016/11/18 11:34,181
220,2016/11/18 12:01,183
220,2016/11/18 12:27,185
220,2016/11/18 13:01,183
220,2016/11/18 13:34,178
220,2016/11/18 14:01,177
220,2016/11/18 14:28,176
220,2016/11/18 15:01,165
220,2016/11/18 15:28,162
220,2016/11/18 16:01,157
220,2016/11/18 16:28,145
220,2016/11/19 7:57,29
220,2016/11/19 8:31,30
220,2016/11/19 8:57,35
220,2016/11/19 9:31,39
220,2016/11/19 10:04,42
220,2016/11/19 10:31,38
220,2016/11/19 10:58,40
220,2016/11/19 11:31,40
220,2016/11/19 12:04,39
220,2016/11/19 12:31,38
220,2016/11/19 13:04,38
220,2016/11/19 13:31,44
220,2016/11/19 14:04,46
220,2016/11/19 14:31,48
220,2016/11/19 15:04,53
220,2016/11/19 15:31,55
220,2016/11/19 16:04,52
220,2016/11/19 16:31,52
220,2016/11/20 8:01,16
220,2016/11/20 8:27,16
220,2016/11/20 9:01,17
220,2016/11/20 9:27,17
220,2016/11/20 10:01,18
220,2016/11/20 10:27,18
220,2016/11/20 11:01,17
220,2016/11/20 11:27,17
220,2016/11/20 12:01,16
220,2016/11/20 12:34,15
220,2016/11/20 13:07,17
220,2016/11/20 13:27,20
220,2016/11/20 14:01,26
220,2016/11/20 14:27,33
220,2016/11/20 15:01,37
220,2016/11/20 15:27,39
220,2016/11/20 16:01,42
220,2016/11/20 16:31,44
220,2016/11/21 8:04,70
220,2016/11/21 8:31,90
220,2016/11/21 9:04,158
220,2016/11/21 9:31,179
220,2016/11/21 10:04,210
220,2016/11/21 10:31,214
220,2016/11/21 11:04,200
220,2016/11/21 11:30,202
220,2016/11/21 11:57,207
220,2016/11/21 12:31,213
220,2016/11/21 12:57,216
220,2016/11/21 13:31,197
220,2016/11/21 14:04,200
220,2016/11/21 14:31,196
220,2016/11/21 14:57,193
220,2016/11/21 15:31,187
220,2016/11/21 15:57,171
220,2016/11/21 16:31,146
220,2016/11/22 7:57,61
220,2016/11/22 8:31,101
220,2016/11/22 9:04,164
220,2016/11/22 9:31,187
220,2016/11/22 10:04,215
220,2016/11/22 10:31,206
220,2016/11/22 11:04,211
220,2016/11/22 11:31,219
220,2016/11/22 12:04,219
220,2016/11/22 12:31,216
220,2016/11/22 12:57,217
220,2016/11/22 13:31,214
220,2016/11/22 13:57,210
220,2016/11/22 14:31,208
220,2016/11/22 14:57,199
220,2016/11/22 15:31,193
220,2016/11/22 15:57,175
220,2016/11/22 16:30,153
220,2016/11/23 8:04,78
220,2016/11/23 8:30,104
220,2016/11/23 8:57,164
220,2016/11/23 9:31,203
220,2016/11/23 10:04,217
220,2016/11/23 10:31,218
220,2016/11/23 11:04,214
220,2016/11/23 11:31,208
220,2016/11/23 11:57,208
220,2016/11/23 12:31,212
220,2016/11/23 13:04,213
220,2016/11/23 13:31,212
220,2016/11/23 13:57,213
220,2016/11/23 14:30,213
220,2016/11/23 15:04,200
220,2016/11/23 15:31,194
220,2016/11/23 16:04,176
220,2016/11/23 16:30,154
220,2016/11/24 8:00,66
220,2016/11/24 8:27,98
220,2016/11/24 9:00,150
220,2016/11/24 9:34,172
220,2016/11/24 10:01,195
220,2016/11/24 10:27,206
220,2016/11/24 11:00,211
220,2016/11/24 11:27,211
220,2016/11/24 12:00,211
220,2016/11/24 12:30,210
220,2016/11/24 13:04,207
220,2016/11/24 13:30,209
220,2016/11/24 13:57,210
220,2016/11/24 14:30,205
220,2016/11/24 14:57,201
220,2016/11/24 15:31,196
220,2016/11/24 15:57,187
220,2016/11/24 16:31,167
220,2016/11/25 8:00,58
220,2016/11/25 8:00,58
220,2016/11/25 9:00,132
220,2016/11/25 9:27,155
220,2016/11/25 10:00,166
220,2016/11/25 10:27,173
220,2016/11/25 11:00,178
220,2016/11/25 11:27,179
220,2016/11/25 12:00,185
220,2016/11/25 12:34,187
220,2016/11/25 13:00,183
220,2016/11/25 13:27,178
220,2016/11/25 14:00,179
220,2016/11/25 14:34,178
220,2016/11/25 15:00,175
220,2016/11/25 15:27,167
220,2016/11/25 16:00,155
220,2016/11/25 16:27,146
220,2016/11/26 8:01,37
220,2016/11/26 8:28,35
220,2016/11/26 9:01,44
220,2016/11/26 9:35,43
220,2016/11/26 10:01,48
220,2016/11/26 10:35,49
220,2016/11/26 11:01,51
220,2016/11/26 11:28,51
220,2016/11/26 12:01,52
220,2016/11/26 12:28,55
220,2016/11/26 13:01,56
220,2016/11/26 13:28,55
220,2016/11/26 14:01,56
220,2016/11/26 14:41,59
220,2016/11/26 15:01,60
220,2016/11/26 15:28,59
220,2016/11/26 16:01,64
220,2016/11/26 16:28,64
220,2016/11/28 8:01,68
220,2016/11/28 8:32,115
220,2016/11/28 9:02,161
220,2016/11/28 9:28,183
220,2016/11/28 10:01,206
220,2016/11/28 10:32,217
220,2016/11/28 11:01,206
220,2016/11/28 11:32,213
220,2016/11/28 12:01,204
220,2016/11/28 12:28,206
220,2016/11/28 13:02,208
220,2016/11/28 13:31,208
220,2016/11/28 14:02,209
